entry_id	trans_english	Yagua_Phonemic
11.64	debt	[diwyi]čara
11.65	pay (vb)	mučenu; muričenu
11.66	account, reckoning	[kwenta]
11.69	tax, tribute	
11.77	hire	hwatyani
11.78	wages	[kãnã]čara
11.79	earn	[kãnãy]
11.81	buy	tãryũy
11.82	sell	tãryũtya
11.83	trade, barter	
11.84	merchant	tãryũtyĩ; [rikyatũ]
11.85	market (place)	tãryũtyaho
11.86	store, shop	[tĩnta]
11.87	price	muričeway
11.88	dear (costly, expensive)	hãmura ra-muričeway
11.89	cheap	ne haryi muričewarya
11.91	share (distribute)	sãy
11.92	weigh	hidye; hini; saranu
12.1	after	riwasi
12.11	behind	-hũsi; -nihyũ; -yadasi
12.2	beside	-tunu
12.3	down, below	-hari
12.4	before	hũtyahũ
12.41	front	hiyada; mõmu; yada
12.5	inside, in	wimu; musi; nube
12.6	outside	bimu
12.7	under	ra-hare; ra-hari
12.8	up, above	sa- hĩyu
12.11	place	-hi; -ho; wičaho
12.12	put	bay
12.13	sit	mãsa; kuru
12.14	lie down	tiryõ
12.15	stand	rani
12.16	remain, stay	mãčõ
12.17	remains, left overs	-hinra; binra
12.21	collect, gather	hato; so; hutyẽryani
12.212	pick up	hũri
12.213	pile up	-hu; wiɲu; wiɲã
12.22	join, unite	hutyẽryani
12.23	separate	hintya nanta
12.232	divide	nanta
12.24	open	muta; mudtarya
12.25	shut, close	tamuy; tanuwũnu; mutanu
12.26	cover	mutanu
12.27	hide, conceal	dutya; padye
12.31	high	nãway
12.32	low	hapu-; wapu-
12.33	top	-nča
12.34	bottom	kĩni
12.35	end	baryĩhada; kãsiyada
