entry_id	trans_english	Li_of_Baoding_Phonemic
9.44	build	pɨ.1 hwoŋ.~
9.46	bore	hwoŋ.3
9.461	hollow out	khak.7
9.48	saw	ban.2
9.49	hammer	chet́.7
9.5	nail	han.2
9.56	glue	pit.8 pin.3fan.3
9.6	smith, blacksmith	hjai.1; hjan.3
9.61	forge	thu:k.7
9.62	anvil	mu:n.1
9.63	cast (metals)	thok.7
9.64	gold	hjan.3; fo:k.7; ʔjat́.7
9.65	silver	rɨn.2
9.66	copper, bronze	thok.7
9.67	iron	dak.7
9.68	lead (noun)	fet.7
9.69	tin, tinplate	fik.7
9.71	potter	chi:u.3
9.72	mold (clay etc)	ńoŋ.2
9.73	clay	ma:u.1
9.74	glass	co:n.1
9.75	weave, plait	thɨ:n.1 nom.3
9.76	basket	ma:u.1
9.77	mat	plei.1 nom.3
9.771	rug	com.1 nom.3
9.78	netbag	pho:ŋ.3
9.79	fan (noun)	beń.1
