entry_id	trans_english	Panare_Phonemic
10.56	approach	-ataʔmu-
10.57	enter	-ən (-mɨ: -mi)
10.61	carry (bear)	-ankə-
10.612	carry-in-hand	-ankə- yeɲa
10.613	carry-on-shoulder	-ankə- mata po
10.614	carry-on-head	-ankə- pun-po
10.615	carry-underarm	-ankə- y-ahta
10.62	bring	-ɲeʔ(-pɨ)(-pi)
10.63	send	-ankə-
10.64	lead (vb)	-ankə-; yu-tə-n paken
10.65	drive	-ɨtyimi-
10.66	ride	--
10.67	push, shove	-ompayii-ma-
10.71	road	čɨma
10.72	path	čɨma
10.74	bridge	okətə-n-toʔ
10.75	carriage, wagon, cart	kanowa
10.76	wheel	kanowa patan
10.77	axle	ihtan yapo
10.78	yoke	
10.81	ship	--
10.83	boat	kanowa, tɨna-hkua mən
10.831	canoe	kanowa, tɨna-hkua mən
10.832	outrigger	--
10.84	raft	kanowa, tɨna-hkua mən
10.85	oar	-yɨkɨ
10.851	paddle (noun)	-yɨkɨ
10.852	row (vb)	yutən, yu-wəhtə-n
10.86	rudder	--
10.87	mast	--
10.88	sail (noun)	--
10.89	anchor	--
10.91	harbor, port	kanowa samaika-to
10.92	land (vb)	-usamɨnkan mahpana
11.11	have	mo
11.12	own, possess	mo
11.13	take	ya-n(-mɨ)(-mi)
11.14	seize, grasp	yapəʔ(-sɨ)(-si)
11.15	hold	yapəʔ(-sɨ)(-si)
11.16	get, obtain	ya-n(-mɨ)(-mi)
11.17	keep, retain	-amaika-
11.18	thing	ikityə; -iyu
11.21	give	y-uʔ(-tu)(-tui)
11.22	give back	yuʔ(-tu)(-tui) ɲankə
11.24	preserve, look after	-ičenpa-
11.25	save, rescue	-eɲa-ka-
11.27	destroy	-uriʔma-
11.28	harm, injure, damage	-awa-; -amasɨhtapo-
11.31	seek, look for	-ipəʔ(-tɨ)(-ti); -ɨnaapaka-
11.32	find	-ɨnaapaka-
11.33	lose	-əʔmarapa-
11.34	release, let go	-ɨpɨnka-
11.43	money	[arata]
11.44	coin	[arata] ɲe
11.51	rich	t-ɨʔna-se
11.52	poor	t-ɨna-se ehke
11.53	beggar	--
11.54	avaricious, stingy	tamɨɲe
11.61	lend	
11.62	borrow	[-ɨpirehtyatə-]
11.63	owe	mo tuhsen pɨ
11.64	debt	mo tuhsen pɨ
11.65	pay (vb)	-ipima-
11.66	account, reckoning	--
11.69	tax, tribute	--
11.77	hire	-apoʔma-
11.78	wages	
11.79	earn	
11.81	buy	ya-n(-mɨ)(-mi)
11.82	sell	-ipima-
11.83	trade, barter	-ipima-
11.84	merchant	ikityə pima-ɲe
11.85	market (place)	ikityə y-an-to
11.86	store, shop	ikityə y-an-to
11.87	price	--
11.88	dear (costly, expensive)	tyipiče
11.89	cheap	tyipiče ehke
11.91	share (distribute)	-ayimo-
11.92	weigh	-apə-
12.1	after	-pəkə-n
12.11	behind	-pəkə-n
12.2	beside	-yɨpaye
12.3	down, below	yeʔɲe; yehkə
12.4	before	paken; yawaʔna
12.41	front	yɨ-petya-n
12.5	inside, in	t-ya
12.6	outside	-aʔya
12.7	under	yeʔɲe; yehkə
12.8	up, above	yapaya; yapayaʔkə
12.11	place	pata; -ɨ-pata-n
12.12	put	-amaika-
12.13	sit	-os-amaika-
12.14	lie down	-uwiɲa-
12.15	stand	-osan(-mɨ)(-mi) pika
12.16	remain, stay	-os-amaika-
12.17	remains, left overs	-yakonpək
12.21	collect, gather	yaʔkityə-; -opooma-
12.212	pick up	
12.213	pile up	-os-aʔkityə-
12.22	join, unite	-ɨtɨhtə-
12.23	separate	-iʔyaka-; piyaka-
12.232	divide	-iʔyaka-; piyaka-
12.24	open	-ipipu-ka-
12.25	shut, close	-ipipu-
12.26	cover	-awontə-
12.27	hide, conceal	-ɨnan(-mɨ)(-mi)
12.31	high	kawə
